id,state_name,state_symbol,state_id,election_id,date,contest_type,number_delegates,rule
1,Alabama,AL,1,1,03/01/2016,primary,53,proportional
2,Alaska,AK,2,1,03/26/2016,caucus,16,proportional
3,American Samoa,AS,3,1,03/01/2016,caucus,6,proportional
4,Arizona,AZ,4,1,03/22/2016,primary,75,proportional
5,Arkansas,AR,5,1,03/01/2016,primary,32,proportional
6,California,CA,6,1,06/07/2016,primary,475,proportional
7,Colorado,CO,7,1,03/01/2016,caucus,66,proportional
8,Connecticut,CT,8,1,04/26/2016,primary,55,proportional
9,Delaware,DE,9,1,04/26/2016,primary,21,proportional
10,Democrats Abroad,DA,10,1,03/01/2016,caucus,13,proportional
11,Washington DC, DC,11,1,06/14/2016,primary,25,proportional
12,Florida,FL,12,1,03/15/2016,primary,214,proportional
13,Georgia,GA,13,1,03/01/2016,primary,102,proportional
14,Guam,GU,14,1,05/07/2016,caucus,7,proportional
15,Hawaii,HI,15,1,03/26/2016,caucus,25,proportional
16,Idaho,ID,16,1,03/22/2016,caucus,23,proportional
17,Illinois,IL,17,1,03/15/2016,primary,156,proportional
18,Indiana,IN,18,1,05/03/2016,primary,83,proportional
19,Iowa,IA,19,1,02/01/2016,caucus,44,proportional
20,Kansas,KS,20,1,03/05/2016,caucus,33,proportional
21,Kentucky,KY,21,1,05/17/2016,primary,55,proportional
22,Louisiana,LA,22,1,03/05/2016,primary,51,proportional
23,Maine,ME,23,1,03/06/2016,caucus,25,proportional
24,Maryland,MD,24,1,04/26/2016,primary,95,proportional
25,Massachusetts,MA,25,1,03/01/2016,primary,91,proportional
26,Michigan,MI,26,1,03/08/2016,primary,130,proportional
27,Minnesota,MN,27,1,03/01/2016,caucus,77,proportional
28,Mississippi,MS,28,1,03/08/2016,primary,36,proportional
29,Missouri,MO,29,1,03/15/2016,primary,71,proportional
30,Montana,MT,30,1,06/07/2016,primary,21,proportional
31,Nebraska,NE,31,1,03/05/2016,caucus,25,proportional
32,Nevada,NV,32,1,02/20/2016,caucus,35,proportional
33,New Hampshire,NH,33,1,02/09/2016,primary,24,proportional
34,New Jersey,NJ,34,1,06/07/2016,primary,126,proportional
35,New Mexico,NM,35,1,06/07/2016,primary,34,proportional
36,New York,NY,36,1,04/19/2016,primary,247,proportional
37,North Carolina,NC,37,1,03/15/2016,primary,107,proportional
38,North Dakota,ND,38,1,06/07/2016,caucus,18,proportional
39,Northern Marianas,NA,39,1,03/12/2016,caucus,6,proportional
40,Ohio,OH,40,1,03/15/2016,primary,143,proportional
41,Oklahoma,OK,41,1,03/01/2016,primary,38,proportional
42,Oregon,OR,42,1,05/17/2016,primary,61,proportional
43,Pennsylvania,PA,43,1,04/26/2016,primary,189,proportional
44,Puerto Rico,PR,44,1,06/05/2016,caucus,60,proportional
45,Rhode Island,RI,45,1,04/26/2016,primary,24,proportional
46,South Carolina,SC,46,1,02/27/2016,primary,53,proportional
47,South Dakota,SD,47,1,06/07/2016,primary,20,proportional
48,Tennessee,TN,48,1,03/01/2016,primary,67,proportional
49,Texas,TX,49,1,03/01/2016,primary,222,proportional
50,Utah,UT,50,1,03/22/2016,caucus,33,proportional
51,Vermont,VT,51,1,03/01/2016,primary,16,proportional
52,Virgin Islands,VI,52,1,06/04/2016,caucus,7,proportional
53,Virginia,VA,53,1,03/01/2016,primary,95,proportional
54,Washington,WA,54,1,03/26/2016,caucus,101,proportional
55,West Virginia,WV,55,1,05/10/2016,primary,29,proportional
56,Wisconsin,WI,56,1,04/05/2016,primary,86,proportional
57,Wyoming,WY,57,1,04/09/2016,caucus,14,proportional
